@relation bloodseeker

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1, 0}

@data
11,7,3,506,482,1
16,3,8,705,726,1
16,3,8,705,726,1
16,4,5,462,658,0
16,4,5,462,658,0
16,12,20,418,511,1
16,12,20,418,511,1
23,8,17,535,415,1
23,8,17,535,415,1
10,2,11,508,500,1
10,2,11,508,500,1
5,14,9,315,377,0
5,14,9,315,377,0
10,12,8,394,476,0
10,12,8,394,476,0
5,6,4,377,250,1
5,6,4,377,250,1
13,11,14,366,411,0
13,11,14,366,411,0
0,0,0,282,229,1
0,0,0,282,229,1
11,7,5,513,515,1
11,7,5,513,515,1
12,8,17,590,705,1
12,8,17,590,705,1
16,10,6,575,685,0
16,10,6,575,685,0
11,10,8,410,520,0
11,10,8,410,520,0
7,12,12,349,441,0
7,12,12,349,441,0
7,14,6,346,352,0
7,14,6,346,352,0
3,8,10,281,371,0
3,8,10,281,371,0
11,6,4,610,554,1
11,6,4,610,554,1
16,11,12,549,646,1
16,11,12,549,646,1
12,4,12,535,717,1
12,4,12,535,717,1
5,11,16,419,479,1
5,11,16,419,479,1
22,10,9,570,710,1
22,10,9,570,710,1
19,7,17,526,586,1
19,7,17,526,586,1
8,9,14,364,485,0
8,9,14,364,485,0
11,9,16,536,630,1
11,9,16,536,630,1
33,15,18,584,716,1
33,15,18,584,716,1
16,12,13,437,564,0
16,12,13,437,564,0
10,8,10,535,564,1
10,8,10,535,564,1
12,13,7,390,530,0
12,13,7,390,530,0
7,14,4,343,331,0
7,14,4,343,331,0
8,15,7,397,381,0
8,15,7,397,381,0
17,6,9,448,476,1
17,6,9,448,476,1
6,19,6,363,561,0
6,19,6,363,561,0
5,2,3,412,329,1
5,2,3,412,329,1
4,12,10,263,282,0
4,12,10,263,282,0
21,11,14,504,660,0
21,11,14,504,660,0
8,3,18,543,522,1
8,3,18,543,522,1
14,12,18,490,647,0
14,12,18,490,647,0
25,12,15,569,691,1
25,12,15,569,691,1
14,8,10,460,636,0
14,8,10,460,636,0
16,5,17,535,578,1
16,5,17,535,578,1
5,12,6,332,410,0
5,12,6,332,410,0
6,3,3,597,511,1
6,3,3,597,511,1
29,14,12,586,575,0
29,14,12,586,575,0
5,4,13,549,546,1
5,4,13,549,546,1
27,9,9,697,795,1
27,9,9,697,795,1
21,14,21,444,543,0
21,14,21,444,543,0
20,2,4,860,874,1
20,2,4,860,874,1
6,8,23,465,616,1
6,8,23,465,616,1
18,6,8,634,727,1
18,6,8,634,727,1
2,2,7,373,259,1
2,2,7,373,259,1
13,12,7,556,562,1
13,12,7,556,562,1
8,6,22,362,438,1
8,6,22,362,438,1
16,12,11,487,642,1
16,12,11,487,642,1
12,10,20,419,471,1
12,10,20,419,471,1
30,5,13,764,761,1
30,5,13,764,761,1
4,14,4,251,226,0
4,14,4,251,226,0
14,2,3,709,738,1
14,2,3,709,738,1
10,10,10,460,541,1
10,10,10,460,541,1
11,6,12,584,621,1
11,6,12,584,621,1
2,8,6,276,328,0
2,8,6,276,328,0
22,10,11,563,687,1
22,10,11,563,687,1
25,12,9,478,596,1
25,12,9,478,596,1
26,4,11,702,725,1
26,4,11,702,725,1
18,13,2,518,636,0
18,13,2,518,636,0
12,3,10,506,551,1
12,3,10,506,551,1
7,17,6,316,385,0
7,17,6,316,385,0
4,3,5,301,333,0
4,3,5,301,333,0
9,9,9,402,478,1
9,9,9,402,478,1
11,8,10,400,446,1
11,8,10,400,446,1
7,11,5,335,339,0
7,11,5,335,339,0
6,9,4,431,480,0
6,9,4,431,480,0
5,21,11,289,272,0
5,21,11,289,272,0
13,12,7,401,534,0
13,12,7,401,534,0
11,16,7,398,508,0
11,16,7,398,508,0
6,10,5,396,302,0
6,10,5,396,302,0
14,8,7,632,568,1
14,8,7,632,568,1
16,12,12,392,459,0
16,12,12,392,459,0
13,5,8,378,495,0
13,5,8,378,495,0
12,9,8,475,548,0
12,9,8,475,548,0
5,0,7,559,509,1
5,0,7,559,509,1
15,13,8,453,535,0
15,13,8,453,535,0
12,13,7,401,377,0
12,13,7,401,377,0
11,11,22,428,473,1
11,11,22,428,473,1
10,9,8,314,363,0
10,9,8,314,363,0
6,14,10,347,302,1
6,14,10,347,302,1
2,9,14,313,403,0
2,9,14,313,403,0
17,10,15,459,598,0
17,10,15,459,598,0
18,8,20,476,495,1
18,8,20,476,495,1
17,8,3,656,688,0
17,8,3,656,688,0
10,18,15,387,442,0
10,18,15,387,442,0
8,8,13,483,536,1
8,8,13,483,536,1
9,3,3,460,345,1
9,3,3,460,345,1
19,9,19,611,590,1
19,9,19,611,590,1
38,10,22,730,636,1
38,10,22,730,636,1
11,11,9,406,562,0
11,11,9,406,562,0
0,7,4,203,203,0
0,7,4,203,203,0
13,7,11,488,593,1
13,7,11,488,593,1
4,13,6,346,354,0
4,13,6,346,354,0
16,7,6,591,673,1
16,7,6,591,673,1
6,11,8,358,446,1
6,11,8,358,446,1
11,9,10,482,485,1
11,9,10,482,485,1
19,14,15,500,636,1
19,14,15,500,636,1
15,16,5,468,588,0
15,16,5,468,588,0
4,22,13,343,354,0
4,22,13,343,354,0
9,5,10,551,551,1
9,5,10,551,551,1
20,10,8,546,641,0
20,10,8,546,641,0
30,9,2,622,556,0
30,9,2,622,556,0
18,10,11,590,652,1
18,10,11,590,652,1
7,9,4,381,403,0
7,9,4,381,403,0
16,19,25,452,482,0
16,19,25,452,482,0
11,11,10,476,656,0
11,11,10,476,656,0
5,6,6,403,389,1
5,6,6,403,389,1
3,11,3,177,170,0
3,11,3,177,170,0
5,2,15,352,336,1
5,2,15,352,336,1
25,14,14,647,509,1
25,14,14,647,509,1
5,10,13,322,364,1
5,10,13,322,364,1
0,11,3,230,209,1
0,11,3,230,209,1
5,13,6,273,236,0
5,13,6,273,236,0
3,12,3,159,107,0
3,12,3,159,107,0
15,9,6,624,698,0
15,9,6,624,698,0
18,22,18,496,509,1
18,22,18,496,509,1
16,9,21,515,554,1
16,9,21,515,554,1
17,17,8,519,524,0
17,17,8,519,524,0
13,3,5,528,608,1
