@relation windrunner

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1,0}

@data
15,4,15,512,570,1
4,8,6,371,259,1
4,8,6,371,259,1
9,16,14,401,394,1
9,16,14,401,394,1
12,11,8,400,536,0
12,11,8,400,536,0
5,15,13,228,269,0
5,15,13,228,269,0
27,10,24,579,443,1
27,10,24,579,443,1
13,5,6,379,465,0
13,5,6,379,465,0
10,8,19,506,647,1
10,8,19,506,647,1
29,2,14,726,790,1
29,2,14,726,790,1
11,12,8,452,481,1
11,12,8,452,481,1
6,11,11,317,372,1
6,11,11,317,372,1
2,5,2,243,260,0
2,5,2,243,260,0
0,2,2,107,12,0
0,2,2,107,12,0
7,7,10,417,543,0
7,7,10,417,543,0
2,9,6,244,268,0
2,9,6,244,268,0
7,1,12,390,438,1
7,1,12,390,438,1
17,4,15,446,484,1
17,4,15,446,484,1
7,5,5,345,402,0
7,5,5,345,402,0
6,7,15,416,374,0
6,7,15,416,374,0
6,4,8,416,333,1
6,4,8,416,333,1
1,11,2,204,226,0
1,11,2,204,226,0
2,3,10,358,379,1
2,3,10,358,379,1
11,8,18,435,652,0
11,8,18,435,652,0
10,8,12,413,366,1
10,8,12,413,366,1
7,9,7,365,481,0
7,9,7,365,481,0
4,18,7,291,370,0
4,18,7,291,370,0
35,8,12,669,520,1
35,8,12,669,520,1
7,5,7,491,518,1
7,5,7,491,518,1
3,11,2,302,374,0
3,11,2,302,374,0
12,2,9,562,615,1
12,2,9,562,615,1
4,10,13,356,451,0
4,10,13,356,451,0
10,6,10,338,382,0
10,6,10,338,382,0
4,7,13,359,493,0
4,7,13,359,493,0
11,9,8,393,326,1
11,9,8,393,326,1
2,8,6,268,346,0
2,8,6,268,346,0
27,4,6,648,636,1
27,4,6,648,636,1
4,4,9,396,401,1
4,4,9,396,401,1
23,2,11,557,626,1
23,2,11,557,626,1
17,7,10,477,526,0
17,7,10,477,526,0
6,9,11,439,593,0
6,9,11,439,593,0
10,3,8,619,776,1
10,3,8,619,776,1
7,9,7,332,434,0
7,9,7,332,434,0
2,15,3,240,178,0
2,15,3,240,178,0
4,14,23,345,397,0
4,14,23,345,397,0
10,12,7,348,403,0
10,12,7,348,403,0
24,1,12,691,733,1
24,1,12,691,733,1
13,8,18,465,486,1
13,8,18,465,486,1
5,7,7,341,297,1
5,7,7,341,297,1
0,19,4,244,258,0
0,19,4,244,258,0
19,10,9,511,649,1
19,10,9,511,649,1
4,7,11,341,362,0
4,7,11,341,362,0
9,5,15,358,543,0
9,5,15,358,543,0
8,1,7,564,484,1
8,1,7,564,484,1
20,7,16,558,497,1
20,7,16,558,497,1
8,11,11,394,458,0
8,11,11,394,458,0
17,6,9,459,628,1
17,6,9,459,628,1
14,12,11,497,544,1
14,12,11,497,544,1
5,1,8,390,352,1
5,1,8,390,352,1
3,8,11,317,446,0
3,8,11,317,446,0
12,7,12,424,627,0
12,7,12,424,627,0
8,1,12,459,512,1
8,1,12,459,512,1
3,1,11,350,394,1
3,1,11,350,394,1
9,3,4,571,600,1
9,3,4,571,600,1
3,13,22,335,436,0
3,13,22,335,436,0
2,9,14,288,245,1
2,9,14,288,245,1
13,5,5,384,509,0
13,5,5,384,509,0
11,7,6,396,503,0
11,7,6,396,503,0
33,12,11,605,452,0
33,12,11,605,452,0
1,1,7,483,492,1
1,1,7,483,492,1
3,19,10,392,421,0
3,19,10,392,421,0
4,3,2,588,374,1
4,3,2,588,374,1
4,15,21,268,321,1
4,15,21,268,321,1
4,6,12,380,442,0
4,6,12,380,442,0
19,8,11,416,565,0
19,8,11,416,565,0
0,7,2,170,100,0
0,7,2,170,100,0
7,4,8,496,626,1
7,4,8,496,626,1
6,9,11,431,561,0
6,9,11,431,561,0
6,5,12,441,536,1
6,5,12,441,536,1
2,9,5,348,450,0
2,9,5,348,450,0
4,6,14,311,405,0
4,6,14,311,405,0
31,10,14,623,571,0
31,10,14,623,571,0
6,12,20,375,397,1
6,12,20,375,397,1
22,3,18,583,600,1
22,3,18,583,600,1
14,5,8,495,651,0
14,5,8,495,651,0
7,11,7,307,368,0
7,11,7,307,368,0
17,7,9,589,705,1
17,7,9,589,705,1
5,5,3,260,236,0
5,5,3,260,236,0
4,12,17,364,582,0
4,12,17,364,582,0
12,11,7,471,558,0
12,11,7,471,558,0
5,7,12,414,425,1
5,7,12,414,425,1
5,8,15,338,497,0
5,8,15,338,497,0
1,4,19,299,405,0
1,4,19,299,405,0
6,5,12,374,494,0
6,5,12,374,494,0
11,6,7,399,476,0
11,6,7,399,476,0
12,6,13,445,598,1
12,6,13,445,598,1
17,5,10,573,604,1
17,5,10,573,604,1
5,7,18,241,340,0
5,7,18,241,340,0
17,3,9,578,642,1
17,3,9,578,642,1
7,2,16,489,477,1
