@relation 'crystal maiden'

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1,0}

@data
10,7,19,401,564,1
10,7,19,401,564,1
8,7,13,302,412,0
8,7,13,302,412,0
8,12,32,420,527,1
8,12,32,420,527,1
7,3,10,484,522,1
7,3,10,484,522,1
7,11,24,340,400,1
7,11,24,340,400,1
4,4,12,424,531,1
4,4,12,424,531,1
11,12,25,398,586,1
11,12,25,398,586,1
5,15,23,404,416,1
5,15,23,404,416,1
4,12,34,364,582,1
4,12,34,364,582,1
3,10,10,241,246,1
3,10,10,241,246,1
1,10,5,269,289,0
1,10,5,269,289,0
7,8,11,368,484,0
7,8,11,368,484,0
7,8,5,293,396,0
7,8,5,293,396,0
9,6,14,390,536,0
9,6,14,390,536,0
10,8,22,478,542,1
10,8,22,478,542,1
6,7,12,242,276,0
6,7,12,242,276,0
9,20,28,375,497,1
9,20,28,375,497,1
4,9,12,272,312,0
4,9,12,272,312,0
10,19,16,363,503,0
10,19,16,363,503,0
4,6,20,367,434,1
4,6,20,367,434,1
8,14,7,417,515,0
8,14,7,417,515,0
13,12,21,407,637,0
13,12,21,407,637,0
8,13,18,379,450,1
8,13,18,379,450,1
11,11,23,370,460,1
11,11,23,370,460,1
3,7,10,246,273,0
3,7,10,246,273,0
1,6,12,319,333,1
1,6,12,319,333,1
6,13,8,236,361,0
6,13,8,236,361,0
6,9,20,371,437,0
6,9,20,371,437,0
5,6,13,414,548,1
5,6,13,414,548,1
7,12,17,346,464,0
7,12,17,346,464,0
3,7,21,348,411,1
3,7,21,348,411,1
5,14,14,258,275,0
5,14,14,258,275,0
3,3,16,346,374,1
3,3,16,346,374,1
8,9,21,344,376,1
8,9,21,344,376,1
7,18,19,293,324,1
7,18,19,293,324,1
4,16,19,297,335,1
4,16,19,297,335,1
4,11,13,339,293,1
4,11,13,339,293,1
5,12,24,268,297,0
5,12,24,268,297,0
5,6,19,426,482,1
5,6,19,426,482,1
1,6,2,192,101,0
1,6,2,192,101,0
2,9,8,219,225,0
2,9,8,219,225,0
4,11,9,283,309,0
4,11,9,283,309,0
0,11,9,242,308,0
0,11,9,242,308,0
6,15,23,322,425,0
6,15,23,322,425,0
8,13,11,370,346,0
8,13,11,370,346,0
2,6,14,305,347,1
2,6,14,305,347,1
4,8,13,187,178,0
4,8,13,187,178,0
21,9,16,528,651,1
21,9,16,528,651,1
9,9,18,318,465,0
9,9,18,318,465,0
2,8,17,346,384,1
2,8,17,346,384,1
8,10,15,300,338,0
8,10,15,300,338,0
2,13,7,170,118,0
2,13,7,170,118,0
8,1,15,394,533,1
8,1,15,394,533,1
14,9,22,397,503,1
14,9,22,397,503,1
3,6,19,427,477,1
3,6,19,427,477,1
5,10,12,300,381,0
5,10,12,300,381,0
2,2,8,372,313,1
2,2,8,372,313,1
2,6,18,367,475,1
2,6,18,367,475,1
4,2,8,366,250,1
4,2,8,366,250,1
5,19,14,259,293,0
5,19,14,259,293,0
5,9,21,367,378,1
5,9,21,367,378,1
6,6,14,374,417,1
6,6,14,374,417,1
11,3,27,487,759,1
11,3,27,487,759,1
0,7,7,196,175,0
0,7,7,196,175,0
11,14,25,415,524,1
11,14,25,415,524,1
1,8,16,340,358,1
1,8,16,340,358,1
2,10,10,260,262,0
2,10,10,260,262,0
5,12,24,356,525,1
5,12,24,356,525,1
1,12,8,163,153,0
1,12,8,163,153,0
12,14,15,388,496,1
12,14,15,388,496,1
13,7,10,402,603,0
